M,Emax,K,Ee,mean_obj,std_obj,sem_obj,E_per_node,instances,iters,restarts
50,25000,1,25000.0,-59.8112,6.8277,1.971,500.0,12,2000,2
50,25000,2,12500.0,-96.0988,9.2064,2.6577,500.0,12,2000,2
50,25000,3,8333.3,-88.0553,9.517,2.7473,500.0,12,2000,2
50,25000,4,6250.0,-82.2785,8.5067,2.4557,500.0,12,2000,2
50,25000,5,5000.0,-70.8312,12.8069,3.697,500.0,12,2000,2
50,25000,6,4166.7,-57.2567,12.6629,3.6555,500.0,12,2000,2
50,50000,1,50000.0,-60.9043,6.9131,1.9957,1000.0,12,2000,2
50,50000,2,25000.0,-107.3624,6.2146,1.794,1000.0,12,2000,2
50,50000,3,16666.7,-138.2212,7.6161,2.1986,1000.0,12,2000,2
50,50000,4,12500.0,-152.2013,8.0771,2.3317,1000.0,12,2000,2
50,50000,5,10000.0,-148.3617,10.5867,3.0561,1000.0,12,2000,2
50,50000,6,8333.3,-138.503,10.1278,2.9237,1000.0,12,2000,2
50,100000,1,100000.0,-60.9043,6.9131,1.9957,2000.0,12,2000,2
50,100000,2,50000.0,-107.3044,5.174,1.4936,2000.0,12,2000,2
50,100000,3,33333.3,-140.3233,7.6798,2.217,2000.0,12,2000,2
50,100000,4,25000.0,-164.118,7.8285,2.2599,2000.0,12,2000,2
50,100000,5,20000.0,-180.0125,9.0637,2.6165,2000.0,12,2000,2
50,100000,6,16666.7,-186.6231,11.2266,3.2408,2000.0,12,2000,2
100,25000,1,25000.0,-89.5555,7.2992,2.1071,250.0,12,2000,2
100,25000,2,12500.0,-135.6755,12.0737,3.4854,250.0,12,2000,2
100,25000,3,8333.3,-132.1237,11.7953,3.405,250.0,12,2000,2
100,25000,4,6250.0,-123.9757,13.5991,3.9257,250.0,12,2000,2
100,25000,5,5000.0,-107.4232,13.7776,3.9772,250.0,12,2000,2
100,25000,6,4166.7,-91.138,10.9977,3.1748,250.0,12,2000,2
100,50000,1,50000.0,-89.5555,7.2992,2.1071,500.0,12,2000,2
100,50000,2,25000.0,-158.2889,7.7267,2.2305,500.0,12,2000,2
100,50000,3,16666.7,-216.8348,11.5753,3.3415,500.0,12,2000,2
100,50000,4,12500.0,-235.4509,15.5153,4.4789,500.0,12,2000,2
100,50000,5,10000.0,-226.2791,25.3596,7.3207,500.0,12,2000,2
100,50000,6,8333.3,-221.899,24.7065,7.1321,500.0,12,2000,2
100,100000,1,100000.0,-89.5555,7.2992,2.1071,1000.0,12,2000,2
