layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
ring,40,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,279560.7568393795,0,232016.82439082267,47543.93244855684,0,0,0.0,0,4.812702472147914,3.005796299979914,7978.005302596919,6616.472098243792,1.2057793313621799,2.011286601074222,306.81017685367584,0.0,0.021739130434782608,0.0,4.0233642459163885,19.5,0.9135802469135802,1995.511121567536,34,116.00748062133789
ring,40,1500000.0,2,2,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,278532.3656496287,0,227789.65137607086,50742.71427355784,0,0,0.0,0,4.8765490167359635,2.991688758829253,7869.188544888928,6647.1827301704525,1.1838381558508984,2.011434820723612,306.9001189716615,0.0,0.0,0.0,4.006992640140094,19.647058823529413,0.9560439560439561,1976.3526528511559,34,147.46481895446777
ring,40,1500000.0,2,3,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,279708.31283456174,0,236451.33842309608,43256.97441146565,0,0,0.0,0,4.847367316723177,2.997887716972403,7918.568655195983,6628.455201061175,1.1946325976417957,2.012946828154809,307.8183830006665,0.0,0.021739130434782608,0.0,4.005780917216794,19.852941176470587,0.9213483146067416,1956.6494008989873,34,160.3135507106781
ring,40,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,175096.34224770006,0,158457.27587214916,16639.066375550894,0,0,0.0,0,4.812702472147914,3.0133896396846556,7978.005302596919,6603.505775848148,1.2081469409439916,2.0101577400939776,306.1255979615318,0.0,0.0,0.0,2.6844878274598543,12.173333333333334,0.9625,1425.8442367338225,75,351.0615997314453
ring,40,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,188129.0891416332,0,168289.9085073218,19839.18063431139,0,0,0.0,0,4.8765490167359635,3.026257510265731,7869.188544888928,6575.139961457744,1.196809283302965,2.010245549196438,306.1788209013636,0.0,0.0,0.0,2.6749894656242432,12.093333333333334,0.9444444444444444,1430.2988269891023,75,419.8144164085388
ring,40,1500000.0,3,3,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,195874.4802546225,0,170264.02991273132,25610.45034189117,0,0,0.0,0,4.847367316723177,2.993407340220576,7918.568655195983,6642.874433176785,1.1920394905626917,2.0115837969793766,306.99053349336367,0.0,0.0,0.0,2.6825168956644365,12.131578947368421,0.898876404494382,1455.389255582454,76,388.60457253456116
ring,40,1500000.0,2,4,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,291395.6071810434,0,251895.4672694822,39500.139911561244,0,0,0.0,0,4.854711955654448,2.960150837767882,7906.084445801975,6711.008811825667,1.178076898345064,2.0135310944069307,308.17358379891306,0.0,0.021739130434782608,0.0,3.9886894182760417,18.941176470588236,0.9382716049382716,2042.519819777685,34,195.1258487701416
ring,40,1500000.0,4,2,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,169709.1478560102,0,155090.60072606103,14618.547129949176,0,0,0.0,0,4.8765490167359635,2.9887062788583165,7869.188544888928,6651.957520041089,1.1829883941953256,2.0119968119823324,307.2412642387212,0.0,0.0,0.0,2.005277733449873,7.291044776119403,0.9318181818181818,1355.9632264544164,134,617.6080994606018
ring,40,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,183685.94667384485,0,163351.68063693395,20334.266036910914,0,0,0.0,0,4.812702472147914,2.9758731140012062,7978.005302596919,6679.945699500742,1.1943218794717438,2.012206972088488,307.36888630336347,0.0,0.0,0.0,1.9992753372762913,6.7819548872180455,0.9620253164556962,1450.31535442328,133,682.8039689064026
ring,40,1500000.0,3,4,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,217996.49600905908,0,190363.69760670557,27632.798402353506,0,0,0.0,0,4.854711955654448,2.9881633373715095,7906.084445801975,6652.858310202129,1.1883740908292046,2.012089914762929,307.2977986694499,0.0,0.0,0.0,2.6786819124062378,11.506666666666666,0.9629629629629629,1498.499370549432,75,422.15495109558105
ring,40,1500000.0,4,3,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,188825.35836972346,0,168634.76654415307,20190.5918255704,0,0,0.0,0,4.847367316723177,2.926168630933945,7918.568655195983,6785.934008123776,1.1669091750253207,2.0144245664929805,308.7171603313413,0.0,0.0,0.0,1.997224934760674,6.874074074074074,0.9318181818181818,1428.909890939872,135,694.2916193008423
ring,40,1500000.0,4,4,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,219779.04609450308,0,195383.33396238237,24395.71213212071,0,0,0.0,0,4.854711955654448,2.941109042534738,7906.084445801975,6751.628487732288,1.170989259875204,2.0143750236227005,308.6870065648663,0.0,0.0,0.0,2.014756604880693,6.30827067669173,0.9629629629629629,1569.5253024942178,133,531.4067986011505
ring,40,1500000.0,6,3,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,4362961.676562219,0,4100977.468482024,261984.20808019524,0,26,0.989269602147666,34,4.847367316723177,3.0218547362721453,7918.568655195983,6382.4698876242055,1.2406746595938225,2.0739469025194186,346.0085848293163,0.0,0.0,0.0024875621890547263,1.34099515527236,1.4119601328903655,0.28735632183908044,3101.0153383392026,301,3.4935014247894287
ring,40,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,3700416.629788064,0,3503944.6442955574,196471.98549250644,0,22,0.9831029803410951,32,4.812702472147914,3.0416747472448735,7978.005302596919,6391.467342496425,1.2482275000533465,2.0575322207590974,335.5123193831005,0.0,0.0,0.0,1.352663499857463,1.5723905723905724,0.46835443037974683,2810.39348601841,297,5.267176389694214
ring,40,1500000.0,6,2,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,2731791.3765335684,0,2487464.187702188,244327.18883138057,0,18,0.9614873883224324,32,4.8765490167359635,3.0139515978902147,7869.188544888928,6400.371625141269,1.2294893180855322,2.073569167557213,345.76522725884615,0.0,0.0,0.0,1.3518454779504323,1.6979865771812082,0.4431818181818182,2604.869744754687,298,7.182452917098999
ring,40,1500000.0,6,4,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,3776247.751559435,0,3462494.890361727,313752.8611977082,0,22,0.9747117189015135,33,4.854711955654448,2.9779682807230285,7906.084445801975,6430.922129451394,1.229385815386389,2.088654821434536,355.55079606979837,0.0,0.0,0.0,1.3532934874597815,1.3288135593220338,0.3875,3311.569119301667,295,4.233890056610107
ring,40,1500000.0,2,5,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,252815.4557929366,0,213798.56756012898,39016.88823280763,0,0,0.0,0,4.995276862396649,2.9580139490146586,7674.230832150915,6719.115773973146,1.1421489211240352,2.0125544976503047,307.5799832135584,0.0,0.021739130434782608,0.0,3.9982238092970896,20.058823529411764,0.9195402298850575,1931.9822518820506,34,128.21573114395142
ring,40,1500000.0,5,4,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,685802.92352619,0,579041.2607782434,106761.66274794644,0,2,0.5142540316869133,4,4.854711955654448,2.8698967909764614,7906.084445801975,6870.898507768094,1.1506623823454125,2.028524134866614,317.3585688009351,0.0,0.0,0.0,1.6121779785751784,2.857142857142857,0.7777777777777778,2199.397456984177,210,168.64923667907715
ring,40,1500000.0,5,1,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,504997.033930109,0,467807.514863139,37189.51906696994,0,2,0.5647681485742562,3,4.812702472147914,2.986228449188056,7978.005302596919,6627.283222405898,1.2038123367995535,2.0211634305250676,312.83242555251724,0.0,0.0,0.0,1.5860611465073253,3.4205607476635516,0.8607594936708861,1799.4992499376515,214,253.10547351837158
ring,40,1500000.0,6,6,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,4065617.330496234,0,3886506.9018746223,179110.42862161118,0,28,0.9913899512723275,35,4.865406055137044,3.035509450233753,7887.974312257064,6370.314328428363,1.2382394189021324,2.0685572256048084,342.54436331767363,0.0,0.0,0.0024875621890547263,1.3377216819109439,1.47,0.25,2946.2860044212057,300,6.334338665008545
ring,40,1500000.0,6,5,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,3292913.776540599,0,3049571.4817099217,243342.29483067742,0,20,0.9506125833346185,30,4.995276862396649,3.022731716142494,7674.230832150915,6380.852365614155,1.2026968173572956,2.073870777115749,345.95953378295496,0.0,0.0,0.0,1.3497389066497079,1.674496644295302,0.4117647058823529,2646.831078469545,298,12.698997259140015
ring,40,1500000.0,5,6,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,579111.3395513336,0,523453.3527005543,55657.98685077925,0,2,0.44138538387928095,4,4.865406055137044,2.8485682189656094,7887.974312257064,6902.1467194548895,1.142829127353009,2.0344601138993905,321.0323181746221,0.0,0.0,0.0,1.5748553042453584,2.5023474178403755,0.7777777777777778,2480.0754185114165,213,85.93621897697449
ring,40,1500000.0,2,6,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,260727.98390019505,0,231139.27841554373,29588.70548465132,0,0,0.0,0,4.865406055137044,2.8493046397577872,7887.974312257064,6974.301570690568,1.1310056257684922,2.0128915818049675,307.7848069474107,0.0,0.0,0.0,4.022569774791736,19.147058823529413,0.8933333333333333,2044.5968705461282,34,157.9646439552307
ring,40,1500000.0,6,7,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,4013961.8729556096,0,3859449.102322016,154512.77063359364,0,26,0.9870206078640902,38,4.88638878006438,3.004550337676503,7852.671055673343,6428.606627802052,1.2215199203063045,2.070921586836109,344.06191354547093,0.0,0.0,0.0,1.3505545299500161,1.4966216216216217,0.4305555555555556,2955.4435743664503,296,4.968477487564087
ring,40,1500000.0,2,7,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,278987.19624320295,0,247861.54596708337,31125.650276119588,0,0,0.0,0,4.88638878006438,2.961873664323638,7852.671055673343,6711.689714944525,1.1699991193258328,2.0121557336236187,307.3377687321497,0.0,0.043478260869565216,0.0,4.001186215445592,19.38235294117647,0.9315068493150684,1998.2188979400462,34,175.40039730072021
ring,40,1500000.0,5,7,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,298915.48075942835,0,263618.5618982599,35296.91886116842,0,0,0.0,2,4.88638878006438,2.8776307007455233,7852.671055673343,6857.427197699698,1.1451337111252886,2.0270465751285727,316.44740024499913,0.0,0.0,0.0,1.6108876508217935,3.25,0.8873239436619719,1935.2497426024404,208,217.18347239494324
ring,40,1500000.0,5,3,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,691224.3736046556,0,607156.0938201969,84068.2797844587,0,2,0.6254422415829307,2,4.847367316723177,2.8906850075841217,7918.568655195983,6822.518037737607,1.160651919334732,2.028217514753462,317.1693772937358,0.0,0.0,0.0071174377224199285,1.5980368270917242,3.241706161137441,0.7816091954022989,1920.0425107781955,211,313.83189058303833
ring,40,1500000.0,2,8,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,292495.09653612674,0,254392.747232132,38102.34930399472,0,0,0.0,0,4.807582614470515,2.9372412776615784,7986.856501699884,6765.533784821966,1.1805212649470282,2.0128819312570116,307.77894200008006,0.0,0.021739130434782608,0.0,4.007634260668733,19.5,0.9027777777777778,1985.4297257832534,34,181.57968378067017
ring,40,1500000.0,6,8,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,3515049.6011142507,0,3337605.769087569,177443.8320266823,0,22,0.971933101943079,36,4.807582614470515,2.9954081286745273,7986.856501699884,6415.865321022029,1.2448603737878339,2.081367402137038,350.80663752138196,0.0,0.0,0.0,1.350580431473767,1.2751677852348993,0.4,3440.1071614264365,298,5.638009309768677
ring,40,1500000.0,3,5,exclude,launch,0,0.0,prior,0.0,cpsat_d15,12600.0,43200,182511.4896495499,0,157805.4808042132,24706.0088453367,0,0,0.0,0,4.995276862396649,2.975840498413538,7674.230832150915,6682.812240455609,1.148353500894964,2.0113658959537135,306.8582926494773,0.0,0.0,0.0,2.670982584215912,12.106666666666667,0.9302325581395349,1425.6288646360763,75,380.3720750808716
